,situacao,anoConclusaoEnsinoMedio,chIntegralizadaMatriculada,chintegralizadaACE,chintegralizadaAF,chintegralizadaCF,chintegralizadaObrigatoria,chintegralizadaOptativa,chintegralizadaTotal,fracaoChIntegralizadaTotal,cidade,formaIngInstituicao,ira,sexo,tempoUniversidade,Cancelado,Reprovado por frequência,Reprovado por nota,DEC013_nota,DEE341_nota,DEE346_nota,DEE374_nota,DEE375_nota,DEC008_nota,DEC012_nota,DEC219_nota,DEE238_nota,DEE338_nota,DEE342_nota,DEE344_nota,DEE345_nota,DEC009_nota,DEC014_nota,DEC220_nota,DEE239_nota,DEE347_nota,DEE349_nota,DEE351_nota,DEE358_nota,DEE245_nota,DEE352_nota,DEE359_nota,DEE360_nota,DEC013_freq,DEE341_freq,DEE346_freq,DEE374_freq,DEE375_freq,DEC008_freq,DEC012_freq,DEC219_freq,DEE238_freq,DEE338_freq,DEE342_freq,DEE344_freq,DEE345_freq,DEC009_freq,DEC014_freq,DEC220_freq,DEE239_freq,DEE347_freq,DEE349_freq,DEE351_freq,DEE358_freq,DEE245_freq,DEE352_freq,DEE359_freq,DEE360_freq
23,1,0,1422,0,0,0,1422,0,1422,43.9,Cafelândia,SISU,0.5289,0,10.0,5.0,2.0,6.0,71.0,50.0,50.0,57.0,51.5,96.0,95.0,0.0,54.66666666666666,51.0,72.0,0.0,0.0,0.0,0.0,0.0,80.0,56.0,61.0,35.0,55.0,81.0,90.0,0.0,70.0,100.0,97.0,97.0,100.0,97.5,77.0,96.0,0.0,95.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,94.0,96.0,69.0,95.0,94.0,97.0,0.0,91.0
24,1,0,180,0,0,0,180,0,180,5.6,Palotina,Aproveitamento Curso Superior,0.3785,0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,2018,435,0,0,0,165,0,165,5.1,Palotina,PSS ENEM,0.642,1,2.0,4.0,0.0,1.0,67.0,77.0,71.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,94.0,79.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,0,165,0,0,0,165,0,165,5.1,Sapucaia do Sul,SISU,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,2018,375,0,0,0,165,0,165,5.1,Palotina,Vestibular,0.3616,0,2.0,1.0,1.0,1.0,51.0,70.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,94.0,87.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,2005,465,0,0,0,435,30,465,14.5,Palotina,Vestibular,0.6656,0,7.0,0.0,0.0,0.0,85.0,0.0,0.0,82.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,93.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
29,1,2020,0,0,0,0,0,0,0,0.0,Curitiba,Vestibular,0.0042,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,2019,465,0,0,0,465,0,465,14.5,Palotina,Vestibular,0.3501,0,8.0,2.0,10.0,5.0,64.0,81.0,40.5,74.0,70.0,90.0,72.0,0.0,17.0,3.0,10.0,73.0,13.0,84.0,0.0,0.0,0.0,0.0,2.5,10.0,0.0,0.0,0.0,0.0,0.0,100.0,87.0,50.0,100.0,78.0,100.0,100.0,0.0,97.0,42.0,77.0,80.0,40.0,80.0,0.0,0.0,0.0,20.0,3.5,60.0,0.0,0.0,0.0,0.0,0.0
31,1,0,648,0,0,0,0,0,0,0.0,Palotina,SISU,0.542,0,11.0,1.0,4.0,3.0,82.0,73.0,73.0,57.5,63.0,0.0,70.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,91.0,0.0,0.0,88.0,97.0,97.0,82.5,100.0,0.0,100.0,0.0,100.0,75.5,74.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,100.0,0.0,0.0,44.0,95.0,0.0,0.0
32,0,2016,2820,150,0,0,2235,60,2295,71.4,Palotina,Vestibular,0.8323,0,10.0,7.0,0.0,0.0,42.0,0.0,86.0,79.0,90.0,100.0,100.0,0.0,54.0,81.0,79.0,0.0,37.5,100.0,97.0,0.0,96.0,41.5,85.0,80.0,90.0,77.0,90.0,0.0,70.0,93.0,0.0,82.0,100.0,100.0,94.0,100.0,0.0,100.0,96.0,95.0,0.0,47.0,94.0,97.0,0.0,100.0,50.0,100.0,93.0,90.0,94.0,97.0,0.0,100.0
